# Block number	x	y	z	WCT (tonnes)	Moisture	DPT (tonnes)	RECOVERY	Pit name	SiO2	AL2O3	HAUL Distance (km)	"RESOURCE (0=LMB, 1=Mono Internal, 2 =Mono External"	Empty Haul (minutes)	Full Haul (minutes)			Starting row			
119	-10366	4813	25	24257	0.1300	16416	0.78	WTH2	0.09	0.56	2.96	2	6.7	6.6						
120	-10316	4813	25	22381	0.1300	15271	0.78	WTH2	0.10	0.55	2.97	2	5.6	7.1						
121	-10266	4813	25	20051	0.1300	13489	0.77	WTH2	0.10	0.54	3.00	2	6.3	8.1						
122	-10216	4813	25	14426	0.1300	9400	0.75	WTH2	0.09	0.54	3.05	2	6.7	6.4						
123	-10166	4813	25	13333	0.1299	8402	0.72	WTH2	0.10	0.53	3.10	2	6.0	9.0						
124	-10116	4813	25	10117	0.1300	6435	0.73	WTH2	0.10	0.53	3.15	2	8.1	7.3						
125	-10016	4813	25	8094	0.1301	4963	0.70	WTH2	0.11	0.52	3.26	2	7.1	8.5						
126	-9966	4813	25	8094	0.1301	4770	0.68	WTH2	0.11	0.51	3.32	2	7.0	7.4						
127	-9916	4813	25	9253	0.1300	5645	0.70	WTH2	0.10	0.52	3.38	2	7.1	7.1						
128	-9866	4813	25	9738	0.1300	6134	0.72	WTH2	0.10	0.53	3.43	2	8.2	9.4						
129	-9816	4813	25	13092	0.1300	8924	0.78	WTH2	0.11	0.53	3.49	2	6.9	8.3						
130	-9766	4813	25	16095	0.1300	11097	0.79	WTH2	0.10	0.53	3.43	2	8.4	10.0						
131	-9716	4813	25	16563	0.1301	10507	0.73	WTH2	0.08	0.54	3.49	2	8.7	8.9						
132	-9666	4813	25	17199	0.1300	10408	0.70	WTH2	0.08	0.55	3.53	2	7.8	7.9						
133	-9616	4813	25	19693	0.1300	13067	0.76	WTH2	0.09	0.55	3.57	2	8.7	7.8						
134	-9566	4813	25	26332	0.1300	17187	0.75	WTH2	0.10	0.54	3.61	2	8.4	9.9						
135	-9516	4813	25	18126	0.1300	11264	0.71	WTH2	0.09	0.56	3.67	1	7.3	10.7						
136	-9466	4813	25	13175	0.1300	8573	0.75	WTH2	0.14	0.53	3.72	2	7.1	10.0						
137	-9366	4813	25	4335	0.1302	2817	0.75	WTH2	0.12	0.53	3.81	2	8.2	10.8						
138	-9316	4813	25	5068	0.1302	2992	0.68	WTH2	0.11	0.53	3.85	2	8.5	8.2						
139	-10816	4763	25	9163	0.1300	5612	0.70	WTH2	0.07	0.58	2.51	2	5.4	7.5						
140	-10766	4763	25	3603	0.1299	2182	0.70	WTH2	0.13	0.52	2.54	2	5.3	5.7						
141	-10666	4763	25	2394	0.1303	1406	0.68	WTH2	0.15	0.52	3.24	2	6.2	9.7						
